<DATE>;<TIME>;<LAST>;<VOL>;<ID>;<OPER>
20240117;095956;56.055000000;100;9411039053;S
20240117;095956;56.055000000;200;9411039054;S
20240117;095956;56.055000000;700;9411039055;S
20240117;095956;56.055000000;500;9411039056;S
20240117;095956;56.055000000;500;9411039057;S
20240117;095956;56.055000000;800;9411039058;S
20240117;095956;56.055000000;100;9411039059;S
20240117;095956;56.055000000;100;9411039060;S
20240117;095956;56.055000000;100;9411039061;S
20240117;095956;56.055000000;200;9411039062;B
20240117;095956;56.055000000;300;9411039063;B
20240117;095956;56.055000000;200;9411039064;B
20240117;095956;56.055000000;100;9411039065;B
20240117;095956;56.055000000;200;9411039066;B
20240117;095956;56.055000000;100;9411039067;B
20240117;095956;56.055000000;100;9411039068;B
20240117;095956;56.055000000;100;9411039069;B
20240117;095956;56.055000000;100;9411039070;B
20240117;095956;56.055000000;700;9411039071;B
20240117;095956;56.055000000;300;9411039072;B
20240117;095956;56.055000000;100;9411039073;S
20240117;095956;56.055000000;100;9411039074;S
20240117;095956;56.055000000;100;9411039075;S
20240117;095956;56.055000000;100;9411039076;S
20240117;095956;56.055000000;100;9411039077;S
20240117;095956;56.055000000;100;9411039078;S
20240117;095956;56.055000000;700;9411039079;B
20240117;095956;56.055000000;800;9411039080;S
20240117;095956;56.055000000;100;9411039081;S
20240117;095956;56.055000000;600;9411039082;B
20240117;095956;56.055000000;200;9411039083;B
20240117;095956;56.055000000;100;9411039084;B
20240117;100000;56.050000000;500;9411040045;S
20240117;100001;56.030000000;100;9411040698;S
20240117;100001;56.030000000;300;9411040699;S
20240117;100001;56.030000000;100;9411040739;S
20240117;100001;56.030000000;1300;9411040778;S
20240117;100001;56.030000000;100;9411040779;S
20240117;100001;56.030000000;200;9411040780;S
20240117;100001;56.030000000;100;9411040781;S
20240117;100001;56.030000000;100;9411040782;S
20240117;100001;56.030000000;200;9411040783;S
20240117;100001;56.030000000;200;9411040784;S
20240117;100001;56.030000000;1500;9411040785;S
20240117;100001;56.025000000;2000;9411040786;S
20240117;100001;56.030000000;4400;9411040994;B
20240117;100001;56.035000000;200;9411040995;B
20240117;100003;56.025000000;100;9411042433;B
20240117;100004;56.025000000;200;9411042874;B
20240117;100005;56.025000000;100;9411044015;B
20240117;100005;56.025000000;100;9411044018;B
20240117;100005;56.020000000;100;9411044616;S
20240117;100005;56.020000000;200;9411044617;S
20240117;100005;56.010000000;300;9411044618;S
20240117;100005;56.025000000;3900;9411045013;B
20240117;100005;56.025000000;300;9411045014;B
20240117;100005;56.040000000;800;9411045015;B
20240117;100005;56.045000000;1400;9411045016;B
20240117;100005;56.050000000;1400;9411045017;B
20240117;100005;56.055000000;100;9411045018;B
20240117;100005;56.055000000;2000;9411045019;B
20240117;100005;56.055000000;1400;9411045020;B
20240117;100005;56.065000000;2000;9411045021;B
20240117;100005;56.070000000;800;9411045022;B
20240117;100005;56.075000000;2000;9411045023;B
20240117;100005;56.075000000;3300;9411045024;B
20240117;100005;56.080000000;500;9411045025;B
20240117;100005;56.080000000;10000;9411045026;B
20240117;100005;56.085000000;2000;9411045027;B
20240117;100005;56.090000000;2800;9411045028;B
20240117;100005;56.095000000;300;9411045029;B
20240117;100005;56.095000000;200;9411045030;B
20240117;100005;56.095000000;1000;9411045031;B
20240117;100005;56.095000000;300;9411045032;B
20240117;100005;56.095000000;1000;9411045033;B
20240117;100005;56.095000000;400;9411045034;B
20240117;100005;56.095000000;2000;9411045035;B
20240117;100005;56.100000000;10000;9411045036;B
20240117;100005;56.100000000;100;9411045037;B
20240117;100005;56.100000000;100;9411045038;B
20240117;100005;56.100000000;3000;9411045039;B
20240117;100005;56.100000000;3800;9411045040;B
20240117;100005;56.105000000;2000;9411045041;B
20240117;100005;56.110000000;100;9411045042;B
20240117;100005;56.115000000;2000;9411045043;B
20240117;100005;56.120000000;100;9411045044;B
20240117;100005;56.125000000;2000;9411045045;B
20240117;100005;56.130000000;100;9411045046;B
20240117;100005;56.135000000;2000;9411045047;B
20240117;100005;56.140000000;100;9411045048;B
20240117;100005;56.140000000;1100;9411045049;B
20240117;100005;56.140000000;1800;9411045050;B
20240117;100005;56.145000000;400;9411045051;B
20240117;100005;56.145000000;2000;9411045052;B
20240117;100005;56.150000000;100;9411045053;B
20240117;100005;56.150000000;10000;9411045054;B
20240117;100005;56.155000000;2000;9411045055;B
20240117;100005;56.155000000;2300;9411045056;B
20240117;100005;56.070000000;100;9411045420;S
20240117;100005;56.075000000;200;9411045446;B
20240117;100006;56.070000000;1800;9411045641;S
20240117;100006;56.070000000;800;9411045648;S
20240117;100006;56.070000000;1400;9411045649;S
20240117;100006;56.065000000;1400;9411045650;S
20240117;100006;56.060000000;1400;9411045651;S
20240117;100006;56.060000000;2000;9411045652;S
20240117;100006;56.055000000;4100;9411045653;S
